fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
77,0.69,0.22,19,0.084,18,94,0.9961,331,0.48,95,5
83,0.675,0.26,21,0.084,11,43,0.9976,331,0.53,92,4
97,0.32,0.54,25,0.094,28,83,0.9984,328,0.82,96,5
88,0.41,0.64,22,0.093,9,42,0.9986,354,0.66,105,5
88,0.41,0.64,22,0.093,9,42,0.9986,354,0.66,105,5
68,0.785,0,24,0.104,14,30,0.9966,352,0.55,107,6
67,0.75,0.12,2,0.086,12,80,0.9958,338,0.52,101,5
83,0.625,0.2,15,0.08,27,119,0.9972,316,1.12,91,4
62,0.45,0.2,16,0.069,3,15,0.9958,341,0.56,92,5
78,0.43,0.7,19,0.464,22,67,0.9974,313,1.28,94,5
74,0.5,0.47,2,0.086,21,73,0.997,336,0.57,91,5
73,0.67,0.26,18,0.401,16,51,0.9969,316,1.14,94,5
63,0.3,0.48,18,0.069,18,61,0.9959,344,0.78,103,6
69,0.55,0.15,22,0.076,19,40,0.9961,341,0.59,101,5
86,0.49,0.28,19,0.11,20,136,0.9972,293,1.95,99,6
77,0.49,0.26,19,0.062,9,31,0.9966,339,0.64,96,5
93,0.39,0.44,21,0.107,34,125,0.9978,314,1.22,95,5
7,0.62,0.08,18,0.076,8,24,0.9978,348,0.53,9,5
79,0.52,0.26,19,0.079,42,140,0.9964,323,0.54,95,5
86,0.49,0.28,19,0.11,20,136,0.9972,293,1.95,99,6
86,0.49,0.29,2,0.11,19,133,0.9972,293,1.98,98,5
77,0.49,0.26,19,0.062,9,31,0.9966,339,0.64,96,5
5,1.02,0.04,14,0.045,41,85,0.9938,375,0.48,105,4
47,0.6,0.17,23,0.058,17,106,0.9932,385,0.6,129,6
68,0.775,0,3,0.102,8,23,0.9965,345,0.56,107,5
7,0.5,0.25,2,0.07,3,22,0.9963,325,0.63,92,5
76,0.9,0.06,25,0.079,5,10,0.9967,339,0.56,98,5
81,0.545,0.18,19,0.08,13,35,0.9972,33,0.59,9,6
83,0.61,0.3,21,0.084,11,50,0.9972,34,0.61,102,6
78,0.5,0.3,19,0.075,8,22,0.9959,331,0.56,104,6
81,0.545,0.18,19,0.08,13,35,0.9972,33,0.59,9,6
81,0.575,0.22,21,0.077,12,65,0.9967,329,0.51,92,5
72,0.49,0.24,22,0.07,5,36,0.996,333,0.48,94,5
81,0.575,0.22,21,0.077,12,65,0.9967,329,0.51,92,5
78,0.41,0.68,17,0.467,18,69,0.9973,308,1.31,93,5
62,0.63,0.31,17,0.088,15,64,0.9969,346,0.79,93,5
8,0.33,0.53,25,0.091,18,80,0.9976,337,0.8,96,6
81,0.785,0.52,2,0.122,37,153,0.9969,321,0.69,93,5
78,0.56,0.19,18,0.104,12,47,0.9964,319,0.93,95,5
84,0.62,0.09,22,0.084,11,108,0.9964,315,0.66,98,5
84,0.6,0.1,22,0.085,14,111,0.9964,315,0.66,98,5
101,0.31,0.44,23,0.08,22,46,0.9988,332,0.67,97,6
78,0.56,0.19,18,0.104,12,47,0.9964,319,0.93,95,5
94,0.4,0.31,22,0.09,13,62,0.9966,307,0.63,105,6
83,0.54,0.28,19,0.077,11,40,0.9978,339,0.61,10,6
78,0.56,0.12,2,0.082,7,28,0.997,337,0.5,94,6
88,0.55,0.04,22,0.119,14,56,0.9962,321,0.6,109,6
7,0.69,0.08,18,0.097,22,89,0.9959,334,0.54,92,6
73,1.07,0.09,17,0.178,10,89,0.9962,33,0.57,9,5
88,0.55,0.04,22,0.119,14,56,0.9962,321,0.6,109,6
73,0.695,0,25,0.075,3,13,0.998,349,0.52,92,5
8,0.71,0,26,0.08,11,34,0.9976,344,0.53,95,5
78,0.5,0.17,16,0.082,21,102,0.996,339,0.48,95,5
9,0.62,0.04,19,0.146,27,90,0.9984,316,0.7,94,5
82,1.33,0,17,0.081,3,12,0.9964,353,0.49,109,5
81,1.33,0,18,0.082,3,12,0.9964,354,0.48,109,5
8,0.59,0.16,18,0.065,3,16,0.9962,342,0.92,105,7
61,0.38,0.15,18,0.072,6,19,0.9955,342,0.57,94,5
8,0.745,0.56,2,0.118,30,134,0.9968,324,0.66,94,5
56,0.5,0.09,23,0.049,17,99,0.9937,363,0.63,13,5
56,0.5,0.09,23,0.049,17,99,0.9937,363,0.63,13,5
66,0.5,0.01,15,0.06,17,26,0.9952,34,0.58,98,6
79,1.04,0.05,22,0.084,13,29,0.9959,322,0.55,99,6
84,0.745,0.11,19,0.09,16,63,0.9965,319,0.82,96,5
83,0.715,0.15,18,0.089,10,52,0.9968,323,0.77,95,5
72,0.415,0.36,2,0.081,13,45,0.9972,348,0.64,92,5
78,0.56,0.19,21,0.081,15,105,0.9962,333,0.54,95,5
78,0.56,0.19,2,0.081,17,108,0.9962,332,0.54,95,5
84,0.745,0.11,19,0.09,16,63,0.9965,319,0.82,96,5
83,0.715,0.15,18,0.089,10,52,0.9968,323,0.77,95,5
52,0.34,0,18,0.05,27,63,0.9916,368,0.79,14,6
63,0.39,0.08,17,0.066,3,20,0.9954,334,0.58,94,5
52,0.34,0,18,0.05,27,63,0.9916,368,0.79,14,6
81,0.67,0.55,18,0.117,32,141,0.9968,317,0.62,94,5
58,0.68,0.02,18,0.087,21,94,0.9944,354,0.52,10,5
76,0.49,0.26,16,0.236,10,88,0.9968,311,0.8,93,5
69,0.49,0.1,23,0.074,12,30,0.9959,342,0.58,102,6
82,0.4,0.44,28,0.089,11,43,0.9975,353,0.61,105,6
73,0.33,0.47,21,0.077,5,11,0.9958,333,0.53,103,6
92,0.52,1,34,0.61,32,69,0.9996,274,2.0,94,4
75,0.6,0.03,18,0.095,25,99,0.995,335,0.54,101,5
75,0.6,0.03,18,0.095,25,99,0.995,335,0.54,101,5
71,0.43,0.42,55,0.07,29,129,0.9973,342,0.72,105,5
71,0.43,0.42,55,0.071,28,128,0.9973,342,0.71,105,5
71,0.43,0.42,55,0.07,29,129,0.9973,342,0.72,105,5
71,0.43,0.42,55,0.071,28,128,0.9973,342,0.71,105,5
71,0.68,0,22,0.073,12,22,0.9969,348,0.5,93,5
68,0.6,0.18,19,0.079,18,86,0.9968,359,0.57,93,6
76,0.95,0.03,2,0.09,7,20,0.9959,32,0.56,96,5
76,0.68,0.02,13,0.072,9,20,0.9965,317,1.08,92,4
78,0.53,0.04,17,0.076,17,31,0.9964,333,0.56,10,6
74,0.6,0.26,73,0.07,36,121,0.9982,337,0.49,94,5
73,0.59,0.26,72,0.07,35,121,0.9981,337,0.49,94,5
78,0.63,0.48,17,0.1,14,96,0.9961,319,0.62,95,5
68,0.64,0.1,21,0.085,18,101,0.9956,334,0.52,102,5
73,0.55,0.03,16,0.072,17,42,0.9956,337,0.48,9,4
68,0.63,0.07,21,0.089,11,44,0.9953,347,0.55,104,6
75,0.705,0.24,18,0.36,15,63,0.9964,3,1.59,95,5
79,0.885,0.03,18,0.058,4,8,0.9972,336,0.33,91,4
8,0.42,0.17,2,0.073,6,18,0.9972,329,0.61,92,6
8,0.42,0.17,2,0.073,6,18,0.9972,329,0.61,92,6
74,0.62,0.05,19,0.068,24,42,0.9961,342,0.57,115,6
73,0.38,0.21,2,0.08,7,35,0.9961,333,0.47,95,5
69,0.5,0.04,15,0.085,19,49,0.9958,335,0.78,95,5
73,0.38,0.21,2,0.08,7,35,0.9961,333,0.47,95,5
75,0.52,0.42,23,0.087,8,38,0.9972,358,0.61,105,6
7,0.805,0,25,0.068,7,20,0.9969,348,0.56,96,5
88,0.61,0.14,24,0.067,10,42,0.9969,319,0.59,95,5
88,0.61,0.14,24,0.067,10,42,0.9969,319,0.59,95,5
89,0.61,0.49,2,0.27,23,110,0.9972,312,1.02,93,5
72,0.73,0.02,25,0.076,16,42,0.9972,344,0.52,93,5
68,0.61,0.2,18,0.077,11,65,0.9971,354,0.58,93,5
67,0.62,0.21,19,0.079,8,62,0.997,352,0.58,93,6
89,0.31,0.57,2,0.111,26,85,0.9971,326,0.53,97,5
74,0.39,0.48,2,0.082,14,67,0.9972,334,0.55,92,5
77,0.705,0.1,26,0.084,9,26,0.9976,339,0.49,97,5
79,0.5,0.33,2,0.084,15,143,0.9968,32,0.55,95,5
79,0.49,0.32,19,0.082,17,144,0.9968,32,0.55,95,5
82,0.5,0.35,29,0.077,21,127,0.9976,323,0.62,94,5
64,0.37,0.25,19,0.074,21,49,0.9974,357,0.62,98,6
68,0.63,0.12,38,0.099,16,126,0.9969,328,0.61,95,5
76,0.55,0.21,22,0.071,7,28,0.9964,328,0.55,97,5
76,0.55,0.21,22,0.071,7,28,0.9964,328,0.55,97,5
78,0.59,0.33,2,0.074,24,120,0.9968,325,0.54,94,5
73,0.58,0.3,24,0.074,15,55,0.9968,346,0.59,102,5
115,0.3,0.6,2,0.067,12,27,0.9981,311,0.97,101,6
54,0.835,0.08,12,0.046,13,93,0.9924,357,0.85,13,7
69,1.09,0.06,21,0.061,12,31,0.9948,351,0.43,114,4
96,0.32,0.47,14,0.056,9,24,0.99695,322,0.82,103,7
88,0.37,0.48,21,0.097,39,145,0.9975,304,1.03,93,5
68,0.5,0.11,15,0.075,16,49,0.99545,336,0.79,95,5
7,0.42,0.35,16,0.088,16,39,0.9961,334,0.55,92,5
7,0.43,0.36,16,0.089,14,37,0.99615,334,0.56,92,6
128,0.3,0.74,26,0.095,9,28,0.9994,32,0.77,108,7
128,0.3,0.74,26,0.095,9,28,0.9994,32,0.77,108,7
78,0.57,0.31,18,0.069,26,120,0.99625,329,0.53,93,5
78,0.44,0.28,27,0.1,18,95,0.9966,322,0.67,94,5
11,0.3,0.58,21,0.054,7,19,0.998,331,0.88,105,7
97,0.53,0.6,2,0.039,5,19,0.99585,33,0.86,124,6
8,0.725,0.24,28,0.083,10,62,0.99685,335,0.56,10,6
116,0.44,0.64,21,0.059,5,15,0.998,321,0.67,102,6
82,0.57,0.26,22,0.06,28,65,0.9959,33,0.43,101,5
78,0.735,0.08,24,0.092,10,41,0.9974,324,0.71,98,6
7,0.49,0.49,56,0.06,26,121,0.9974,334,0.76,105,5
87,0.625,0.16,2,0.101,13,49,0.9962,314,0.57,11,5
81,0.725,0.22,22,0.072,11,41,0.9967,336,0.55,91,5
75,0.49,0.19,19,0.076,10,44,0.9957,339,0.54,97,5
78,0.53,0.33,24,0.08,24,144,0.99655,33,0.6,95,5
78,0.34,0.37,2,0.082,24,58,0.9964,334,0.59,94,6
74,0.53,0.26,2,0.101,16,72,0.9957,315,0.57,94,5
68,0.61,0.04,15,0.057,5,10,0.99525,342,0.6,95,5
86,0.645,0.25,2,0.083,8,28,0.99815,328,0.6,10,6
84,0.635,0.36,2,0.089,15,55,0.99745,331,0.57,104,4
77,0.43,0.25,26,0.073,29,63,0.99615,337,0.58,105,6
89,0.59,0.5,2,0.337,27,81,0.9964,304,1.61,95,6
9,0.82,0.14,26,0.089,9,23,0.9984,339,0.63,98,5
77,0.43,0.25,26,0.073,29,63,0.99615,337,0.58,105,6
69,0.52,0.25,26,0.081,10,37,0.99685,346,0.5,11,5
52,0.48,0.04,16,0.054,19,106,0.9927,354,0.62,122,7
8,0.38,0.06,18,0.078,12,49,0.99625,337,0.52,99,6
85,0.37,0.2,28,0.09,18,58,0.998,334,0.7,96,6
69,0.52,0.25,26,0.081,10,37,0.99685,346,0.5,11,5
82,1,0.09,23,0.065,7,37,0.99685,332,0.55,9,6
72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,6
72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,6
72,0.645,0,19,0.097,15,39,0.99675,337,0.58,92,6
72,0.63,0,19,0.097,14,38,0.99675,337,0.58,9,6
82,1,0.09,23,0.065,7,37,0.99685,332,0.55,9,6
89,0.635,0.37,17,0.263,5,62,0.9971,3,1.09,93,5
12,0.38,0.56,21,0.093,6,24,0.99925,314,0.71,109,6
77,0.58,0.1,18,0.102,28,109,0.99565,308,0.49,98,6
15,0.21,0.44,22,0.075,10,24,1.00005,307,0.84,92,7
15,0.21,0.44,22,0.075,10,24,1.00005,307,0.84,92,7
73,0.66,0,2,0.084,6,23,0.9983,361,0.96,99,6
71,0.68,0.07,19,0.075,16,51,0.99685,338,0.52,95,5
82,0.6,0.17,23,0.072,11,73,0.9963,32,0.45,93,5
77,0.53,0.06,17,0.074,9,39,0.99615,335,0.48,98,6
73,0.66,0,2,0.084,6,23,0.9983,361,0.96,99,6
108,0.32,0.44,16,0.063,16,37,0.9985,322,0.78,10,6
71,0.6,0,18,0.074,16,34,0.9972,347,0.7,99,6
111,0.35,0.48,31,0.09,5,21,0.9986,317,0.53,105,5
77,0.775,0.42,19,0.092,8,86,0.9959,323,0.59,95,5
71,0.6,0,18,0.074,16,34,0.9972,347,0.7,99,6
8,0.57,0.23,32,0.073,17,119,0.99675,326,0.57,93,5
94,0.34,0.37,22,0.075,5,13,0.998,322,0.62,92,5
66,0.695,0,21,0.075,12,56,0.9968,349,0.67,92,5
77,0.41,0.76,18,0.611,8,45,0.9968,306,1.26,94,5
10,0.31,0.47,26,0.085,14,33,0.99965,336,0.8,105,7
79,0.33,0.23,17,0.077,18,45,0.99625,329,0.65,93,5
7,0.975,0.04,2,0.087,12,67,0.99565,335,0.6,94,4
8,0.52,0.03,17,0.07,10,35,0.99575,334,0.57,10,5
79,0.37,0.23,18,0.077,23,49,0.9963,328,0.67,93,5
125,0.56,0.49,24,0.064,5,27,0.9999,308,0.87,109,5
118,0.26,0.52,18,0.071,6,10,0.9968,32,0.72,102,7
81,0.87,0,33,0.096,26,61,1.00025,36,0.72,98,4
79,0.35,0.46,36,0.078,15,37,0.9973,335,0.86,128,8
69,0.54,0.04,3,0.077,7,27,0.9987,369,0.91,94,6
115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6
79,0.545,0.06,4,0.087,27,61,0.9965,336,0.67,107,6
115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6
109,0.37,0.58,4,0.071,17,65,0.99935,322,0.78,101,5
84,0.715,0.2,24,0.076,10,38,0.99735,331,0.64,94,5
75,0.65,0.18,7,0.088,27,94,0.99915,338,0.77,94,5
79,0.545,0.06,4,0.087,27,61,0.9965,336,0.67,107,6
69,0.54,0.04,3,0.077,7,27,0.9987,369,0.91,94,6
115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6
103,0.32,0.45,64,0.073,5,13,0.9976,323,0.82,126,8
89,0.4,0.32,56,0.087,10,47,0.9991,338,0.77,105,7
114,0.26,0.44,36,0.071,6,19,0.9986,312,0.82,93,6
77,0.27,0.68,35,0.358,5,10,0.9972,325,1.08,99,7
76,0.52,0.12,3,0.067,12,53,0.9971,336,0.57,91,5
89,0.4,0.32,56,0.087,10,47,0.9991,338,0.77,105,7
99,0.59,0.07,34,0.102,32,71,1.00015,331,0.71,98,5
99,0.59,0.07,34,0.102,32,71,1.00015,331,0.71,98,5
12,0.45,0.55,2,0.073,25,49,0.9997,31,0.76,103,6
75,0.4,0.12,3,0.092,29,53,0.9967,337,0.7,103,6
87,0.52,0.09,25,0.091,20,49,0.9976,334,0.86,106,7
116,0.42,0.53,33,0.105,33,98,1.001,32,0.95,92,5
87,0.52,0.09,25,0.091,20,49,0.9976,334,0.86,106,7
11,0.2,0.48,2,0.343,6,18,0.9979,33,0.71,105,5
104,0.55,0.23,27,0.091,18,48,0.9994,322,0.64,103,6
69,0.36,0.25,24,0.098,5,16,0.9964,341,0.6,101,6
133,0.34,0.52,32,0.094,17,53,1.0014,305,0.81,95,6
108,0.5,0.46,25,0.073,5,27,1.0001,305,0.64,95,5
106,0.83,0.37,26,0.086,26,70,0.9981,316,0.52,99,5
71,0.63,0.06,2,0.083,8,29,0.99855,367,0.73,96,5
72,0.65,0.02,23,0.094,5,31,0.9993,367,0.8,97,5
69,0.67,0.06,21,0.08,8,33,0.99845,368,0.71,96,5
75,0.53,0.06,26,0.086,20,44,0.9965,338,0.59,107,6
111,0.18,0.48,15,0.068,7,15,0.9973,322,0.64,101,6
83,0.705,0.12,26,0.092,12,28,0.9994,351,0.72,10,5
74,0.67,0.12,16,0.186,5,21,0.996,339,0.54,95,5
84,0.65,0.6,21,0.112,12,90,0.9973,32,0.52,92,5
103,0.53,0.48,25,0.063,6,25,0.9998,312,0.59,93,6
76,0.62,0.32,22,0.082,7,54,0.9966,336,0.52,94,5
103,0.41,0.42,24,0.213,6,14,0.9994,319,0.62,95,6
103,0.43,0.44,24,0.214,5,12,0.9994,319,0.63,95,6
74,0.29,0.38,17,0.062,9,30,0.9968,341,0.53,95,6
103,0.53,0.48,25,0.063,6,25,0.9998,312,0.59,93,6
79,0.53,0.24,2,0.072,15,105,0.996,327,0.54,94,6
9,0.46,0.31,28,0.093,19,98,0.99815,332,0.63,95,6
86,0.47,0.3,3,0.076,30,135,0.9976,33,0.53,94,5
74,0.36,0.29,26,0.087,26,72,0.99645,339,0.68,11,5
71,0.35,0.29,25,0.096,20,53,0.9962,342,0.65,11,6
96,0.56,0.23,34,0.102,37,92,0.9996,33,0.65,101,5
96,0.77,0.12,29,0.082,30,74,0.99865,33,0.64,104,6
98,0.66,0.39,32,0.083,21,59,0.9989,337,0.71,115,7
96,0.77,0.12,29,0.082,30,74,0.99865,33,0.64,104,6
98,0.66,0.39,32,0.083,21,59,0.9989,337,0.71,115,7
93,0.61,0.26,34,0.09,25,87,0.99975,324,0.62,97,5
78,0.62,0.05,23,0.079,6,18,0.99735,329,0.63,93,5
103,0.59,0.42,28,0.09,35,73,0.999,328,0.7,95,6
10,0.49,0.2,11,0.071,13,50,1.0015,316,0.69,92,6
10,0.49,0.2,11,0.071,13,50,1.0015,316,0.69,92,6
116,0.53,0.66,365,0.121,6,14,0.9978,305,0.74,115,7
103,0.44,0.5,45,0.107,5,13,0.998,328,0.83,115,5
134,0.27,0.62,26,0.082,6,21,1.0002,316,0.67,97,6
107,0.46,0.39,2,0.061,7,15,0.9981,318,0.62,95,5
102,0.36,0.64,29,0.122,10,41,0.998,323,0.66,125,6
102,0.36,0.64,29,0.122,10,41,0.998,323,0.66,125,6
8,0.58,0.28,32,0.066,21,114,0.9973,322,0.54,94,6
84,0.56,0.08,21,0.105,16,44,0.9958,313,0.52,11,5
79,0.65,0.01,25,0.078,17,38,0.9963,334,0.74,117,7
119,0.695,0.53,34,0.128,7,21,0.9992,317,0.84,122,7
89,0.43,0.45,19,0.052,6,16,0.9948,335,0.7,125,6
78,0.43,0.32,28,0.08,29,58,0.9974,331,0.64,103,5
124,0.49,0.58,3,0.103,28,99,1.0008,316,1,115,6
125,0.28,0.54,23,0.082,12,29,0.9997,311,1.36,98,7
122,0.34,0.5,24,0.066,10,21,1,312,1.18,92,6
106,0.42,0.48,27,0.065,5,18,0.9972,321,0.87,113,6
109,0.39,0.47,18,0.118,6,14,0.9982,33,0.75,98,6
109,0.39,0.47,18,0.118,6,14,0.9982,33,0.75,98,6
119,0.57,0.5,26,0.082,6,32,1.0006,312,0.78,107,6
7,0.685,0,19,0.067,40,63,0.9979,36,0.81,99,5
66,0.815,0.02,27,0.072,17,34,0.9955,358,0.89,123,7
138,0.49,0.67,3,0.093,6,15,0.9986,302,0.93,12,6
96,0.56,0.31,28,0.089,15,46,0.9979,311,0.92,10,6
91,0.785,0,26,0.093,11,28,0.9994,336,0.86,94,6
107,0.67,0.22,27,0.107,17,34,1.0004,328,0.98,99,6
91,0.795,0,26,0.096,11,26,0.9994,335,0.83,94,6
77,0.665,0,24,0.09,8,19,0.9974,327,0.73,93,5
135,0.53,0.79,48,0.12,23,77,1.0018,318,0.77,13,5
61,0.21,0.4,14,0.066,405,165,0.9912,325,0.59,119,6
67,0.75,0.01,24,0.078,17,32,0.9955,355,0.61,128,6
115,0.41,0.52,3,0.08,29,55,1.0001,326,0.88,11,5
105,0.42,0.66,295,0.116,12,29,0.997,324,0.75,117,7
119,0.43,0.66,31,0.109,10,23,1,315,0.85,104,7
126,0.38,0.66,26,0.088,10,41,1.001,317,0.68,98,6
82,0.7,0.23,2,0.099,14,81,0.9973,319,0.7,94,5
86,0.45,0.31,26,0.086,21,50,0.9982,337,0.91,99,6
119,0.58,0.66,25,0.072,6,37,0.9992,305,0.56,10,5
125,0.46,0.63,2,0.071,6,15,0.9988,299,0.87,102,5
128,0.615,0.66,58,0.083,7,42,1.0022,307,0.73,10,7
10,0.42,0.5,34,0.107,7,21,0.9979,326,0.93,118,6
128,0.615,0.66,58,0.083,7,42,1.0022,307,0.73,10,7
104,0.575,0.61,26,0.076,11,24,1,316,0.69,9,5
103,0.34,0.52,28,0.159,15,75,0.9998,318,0.64,94,5
94,0.27,0.53,24,0.074,6,18,0.9962,32,1.13,12,7
69,0.765,0.02,23,0.063,35,63,0.9975,357,0.78,99,5
79,0.24,0.4,16,0.056,11,25,0.9967,332,0.87,87,6
91,0.28,0.48,18,0.067,26,46,0.9967,332,1.04,106,6
74,0.55,0.22,22,0.106,12,72,0.9959,305,0.63,92,5
14,0.41,0.63,38,0.089,6,47,1.0014,301,0.81,108,6
115,0.54,0.71,44,0.124,6,15,0.9984,301,0.83,118,7
115,0.45,0.5,3,0.078,19,47,1.0003,326,1.11,11,6
94,0.27,0.53,24,0.074,6,18,0.9962,32,1.13,12,7
114,0.625,0.66,62,0.088,6,24,0.9988,311,0.99,133,6
83,0.42,0.38,25,0.094,24,60,0.9979,331,0.7,108,6
83,0.26,0.42,2,0.08,11,27,0.9974,321,0.8,94,6
137,0.415,0.68,29,0.085,17,43,1.0014,306,0.8,10,6
83,0.26,0.42,2,0.08,11,27,0.9974,321,0.8,94,6
83,0.26,0.42,2,0.08,11,27,0.9974,321,0.8,94,6
77,0.51,0.28,21,0.087,23,54,0.998,342,0.74,92,5
74,0.63,0.07,24,0.09,11,37,0.9979,343,0.76,97,6
78,0.54,0.26,2,0.088,23,48,0.9981,341,0.74,92,6
83,0.66,0.15,19,0.079,17,42,0.9972,331,0.54,96,6
78,0.46,0.26,19,0.088,23,53,0.9981,343,0.74,92,6
96,0.38,0.31,25,0.096,16,49,0.9982,319,0.7,10,7
56,0.85,0.05,14,0.045,12,88,0.9924,356,0.82,129,8
137,0.415,0.68,29,0.085,17,43,1.0014,306,0.8,10,6
95,0.37,0.52,2,0.082,6,26,0.998,318,0.51,95,5
84,0.665,0.61,2,0.112,13,95,0.997,316,0.54,91,5
127,0.6,0.65,23,0.063,6,25,0.9997,303,0.57,99,5
12,0.37,0.76,42,0.066,7,38,1.0004,322,0.6,13,7
66,0.735,0.02,79,0.122,68,124,0.9994,347,0.53,99,5
115,0.59,0.59,26,0.087,13,49,0.9988,318,0.65,11,6
115,0.59,0.59,26,0.087,13,49,0.9988,318,0.65,11,6
